ncverilog: 15.20-s039: (c) Copyright 1995-2017 Cadence Design Systems, Inc.
TOOL:	ncverilog	15.20-s039: Started on Nov 06, 2022 at 19:15:33 CST
ncverilog
	Lab4_Team25_Scan_Chain_Design_t.v
	Lab4_Team25_Scan_Chain_Design.v
	+access+r
Loading snapshot worklib.Scan_Chain_Design_t:v .................... Done
*Verdi* Loading libsscore_ius152.so
ncsim> source /usr/cad/cadence/INCISIV/cur/tools/inca/files/ncsimrc
ncsim> run
rst_n: 0 | scan_in: 0 | scan_en: 0 | a:  x | b:  x | p:   x | sdff: xxxxxxxx
rst_n: 1 | scan_in: 0 | scan_en: 0 | a:  0 | b:  0 | p:   0 | sdff: 00000000
rst_n: 1 | scan_in: 0 | scan_en: 0 | a:  0 | b:  0 | p:   0 | sdff: 00000000
rst_n: 1 | scan_in: 0 | scan_en: 1 | a:  0 | b:  0 | p:   0 | sdff: 00000000
rst_n: 1 | scan_in: 1 | scan_en: 1 | a:  0 | b:  0 | p:   0 | sdff: 00000000
rst_n: 1 | scan_in: 1 | scan_en: 1 | a:  8 | b:  0 | p:   0 | sdff: 10000000
rst_n: 1 | scan_in: 1 | scan_en: 1 | a: 12 | b:  0 | p:   0 | sdff: 11000000
rst_n: 1 | scan_in: 1 | scan_en: 1 | a: 14 | b:  0 | p:   0 | sdff: 11100000
rst_n: 1 | scan_in: 1 | scan_en: 1 | a: 15 | b:  0 | p:   0 | sdff: 11110000
rst_n: 1 | scan_in: 1 | scan_en: 1 | a: 15 | b:  8 | p: 120 | sdff: 11111000
rst_n: 1 | scan_in: 0 | scan_en: 1 | a: 15 | b: 12 | p: 180 | sdff: 11111100
rst_n: 1 | scan_in: 1 | scan_en: 1 | a:  7 | b: 14 | p:  98 | sdff: 01111110
rst_n: 1 | scan_in: 1 | scan_en: 1 | a: 11 | b: 15 | p: 165 | sdff: 10111111
rst_n: 1 | scan_in: 0 | scan_en: 1 | a: 13 | b: 15 | p: 195 | sdff: 11011111
rst_n: 1 | scan_in: 1 | scan_en: 1 | a:  6 | b: 15 | p:  90 | sdff: 01101111
rst_n: 1 | scan_in: 1 | scan_en: 1 | a: 11 | b:  7 | p:  77 | sdff: 10110111
rst_n: 1 | scan_in: 0 | scan_en: 1 | a: 13 | b: 11 | p: 143 | sdff: 11011011
rst_n: 1 | scan_in: 1 | scan_en: 1 | a:  6 | b: 13 | p:  78 | sdff: 01101101
rst_n: 1 | scan_in: 0 | scan_en: 1 | a: 11 | b:  6 | p:  66 | sdff: 10110110
rst_n: 1 | scan_in: 1 | scan_en: 1 | a:  5 | b: 11 | p:  55 | sdff: 01011011
rst_n: 1 | scan_in: 0 | scan_en: 1 | a: 10 | b: 13 | p: 130 | sdff: 10101101
rst_n: 1 | scan_in: 1 | scan_en: 1 | a:  5 | b:  6 | p:  30 | sdff: 01010110
rst_n: 1 | scan_in: 1 | scan_en: 1 | a: 10 | b: 11 | p: 110 | sdff: 10101011
rst_n: 1 | scan_in: 0 | scan_en: 1 | a: 13 | b:  5 | p:  65 | sdff: 11010101
rst_n: 1 | scan_in: 1 | scan_en: 1 | a:  6 | b: 10 | p:  60 | sdff: 01101010
rst_n: 1 | scan_in: 0 | scan_en: 1 | a: 11 | b:  5 | p:  55 | sdff: 10110101
